,주간,광고비,매출건수,매출액
0,20/02월3주차,0,0,0
1,20/02월4주차,0,1.0,"85,000"
2,20/03월1주차,0,2.0,"217,000"
3,20/03월2주차,0,4.0,"270,000"
4,20/03월3주차,0,0.1,279
5,20/03월4주차,0,5.0,"69,606"
6,20/04월1주차,0,1.0,"66,215"
7,20/04월2주차,0,1.0,"15,400"
8,20/04월3주차,"2,880",2.4,"98,404"
9,20/04월4주차,"3,590",1.6,"50,405"
10,20/04월5주차,"3,730",3.0,"268,891"
11,20/05월2주차,"6,420",2.0,"159,500"
12,20/05월3주차,"7,670",2.0,"174,000"
13,20/05월4주차,"9,010",2.0,"146,800"
14,20/05월5주차,"12,530",0,0
15,20/06월1주차,"13,315",2.0,"7,700"
16,20/06월2주차,"8,965",2.0,"26,400"
17,20/06월3주차,"6,985",2.0,"111,600"
18,20/06월4주차,"10,681",3.0,"302,214"
19,20/07월1주차,"9,196",4.0,"377,786"
20,20/07월2주차,"11,473",1.0,"99,000"
21,20/07월3주차,"13,904",1.0,"132,000"
22,20/07월4주차,"17,237",4.0,"287,000"
23,20/07월5주차,"25,872",3.0,"237,050"
24,20/08월1주차,"10,021",4.0,"429,122"
25,20/08월2주차,"20,471",7.0,"687,935"
26,20/08월3주차,"60,709",5.0,"513,338"
27,20/08월4주차,"39,116",7.5,"660,901"
28,20/09월1주차,"3,190",2.5,"258,954"
29,20/09월2주차,"10,714",8.0,"1,410,000"
30,20/09월3주차,"11,660",3.1,"227,925"
31,20/09월4주차,"20,911",6.0,"547,016"
32,20/10월1주차,0,4.0,"226,951"
33,20/10월2주차,"14,058",7.8,"775,208"
34,20/10월3주차,"11,385",9.5,"1,063,549"
35,20/10월4주차,"13,607",3.5,"346,943"
36,20/10월5주차,"37,312",8.0,"739,008"
37,20/11월1주차,"28,435",7.0,"1,018,444"
38,20/11월2주차,"37,026",6.3,"635,837"
39,20/11월3주차,"37,048",9.7,"1,032,219"
40,20/11월4주차,"27,423",11.0,"1,127,082"
41,20/12월1주차,"27,027",6.0,"499,918"
42,20/12월2주차,"26,257",2.0,"159,500"
43,20/12월3주차,"28,259",5.0,"545,500"
44,20/12월4주차,"25,784",6.1,"485,452"
45,20/12월5주차,"18,205",5.9,"522,948"
46,21/01월2주차,"14,245",4.5,"441,392"
47,21/01월3주차,0,4.7,"486,642"
48,21/01월4주차,0,3.8,"464,771"
49,21/01월5주차,"7,216",4.0,"319,214"
50,21/02월1주차,"11,231",14.9,"1,565,980"
51,21/02월2주차,0,1.0,"110,740"
52,21/02월3주차,0,2.5,"582,660"
53,21/02월4주차,0,2.0,"166,678"
54,21/03월1주차,"12,617",7.0,"677,783"
55,21/03월2주차,"8,008",3.0,"276,239"
56,21/03월3주차,0,5.0,"602,761"
57,21/03월4주차,0,6.0,"568,500"
58,21/04월1주차,0,0.0,257
59,21/04월2주차,0,6.1,"423,582"
60,21/04월3주차,0,3.0,"215,841"
61,21/04월4주차,0,5.9,"506,533"
62,21/04월5주차,0,1.0,"95,000"
63,21/05월1주차,0,0.0,"4,156"
64,21/05월2주차,0,10.0,"1,067,097"
65,21/05월3주차,0,1.9,"185,974"
66,21/05월4주차,0,3.0,"204,900"
67,21/06월1주차,0,4.0,"743,000"
68,21/06월2주차,0,10.0,"913,950"
69,21/06월3주차,"13,277",2.1,"107,934"
70,21/06월4주차,"23,001",7.1,"597,341"
71,21/07월1주차,"34,188",8.9,"664,758"
72,21/07월2주차,"56,683",8.0,"375,347"
73,21/07월3주차,"42,086",12.0,"800,594"
74,21/07월4주차,"34,419",15.0,"532,718"
75,21/07월5주차,"26,873",4.4,"63,892"
76,21/08월1주차,"51,425",8.7,"419,113"
77,21/08월2주차,"69,399",21.9,"1,008,736"
